Nombre Grace,Claves Clases,Link MisProfes,
FERNANDO PURON CONTRERAS,"COM-16301, COM-16306",https://www.misprofesores.com/profesores/Fernando-Puron-Contreras_158284,
GERARDO ZORRILLA RAMOS,EGN-17162,https://www.misprofesores.com/profesores/GERARDO-ZORRILLA-RAMOS_46194,
SOFIA FLORES SENTIES,"DER-11121, DER-11104-LAB",N/A,
JESUS ADRIAN FERNANDEZ REYES,"LEN-12718, LEN-12726, LEN-10141, LEN-11128, LEN-10135, LEN-17103, LEN-10140, LEN-12719, LEN-12727",https://www.misprofesores.com/profesores/Jesus-Adrian-Fernandez-Reyes_113365,
AURELIO VASQUEZ,ADM-15533,https://www.misprofesores.com/profesores/Aurelio-Vasquez_35317,
MARIA CRUZ MERINO SANZ,"ADM-16602, ADM-16610, ADM-16601",https://www.misprofesores.com/profesores/Maria-Cruz-Merino-Sanz_10744,
ERNESTO BLANCAS BARRAGAN,"ECO-12010, ECO-12102",https://www.misprofesores.com/profesores/Ernesto-Blancas-Barragan_147480,
ABIMAEL JAVIER BENGOCHEA CRUZ,"MAT-24211, MAT-12220",https://www.misprofesores.com/profesores/Abimael-Javier-Bengochea-Cruz_91291,
GAMALIEL MIRANDA FLORES,"DER-19005-LAB, DER-19004",N/A,
SANDRA LORENA VILLALOBOS OROZCO,"LEN-17103, LEN-12718, LEN-12701",https://misprofesores.com/profesores/Sandra-Lorena-Villalobos_104333,
ANA GABRIELA VAZQUEZ VELAZQUEZ,"CON-15001, CON-15125",N/A,
JORGE MONROY JIMENEZ,"MAT-14280, MAT-14300, MAT-14281, MAT-14301",https://www.misprofesores.com/profesores/Jorge-Monroy-Jimenez_77450,
NATALIA SALTALAMACCHIA ZICCARDI,EIN-17304,https://www.misprofesores.com/profesores/Natalia-Saltalamacchia-Ziccardi_10835,
SERGIO HERNANDEZ SANCHEZ,"SDI-11322-LAB, SDI-17401-LAB",N/A,
JOSE GUADALUPE ROMERO VELAZQUEZ,"SDI-14105, SDI-11911, SDI-17112",https://www.misprofesores.com/profesores/Jose-Guadalupe-Romero-Velasquez_81677,
IRMA LOZANO MENDICUTI,"COM-11302, COM-16305",https://www.misprofesores.com/profesores/IRMA-LOZANO-MENDICUTI_31181,
ELIAS HERIBERTO ARIAS NAVA,"IIO-13180, IIO-14193",N/A,
JOSE LUIS HERNANDEZ SANCHEZ,DER-10114,N/A,
LUIS ANTHAR GONZALEZ RODRIGUEZ,CON-15002,https://www.misprofesores.com/profesores/Luis-Anthar-Gonzalez_177453,
ALEXANDRA URIBE COUGHLAN,"CSO-10100, CSO-14021, CSO-14096",https://www.misprofesores.com/profesores/Alexandra-Uribe-Coughlan_10804,
MARIA GRACE  NOBILE,CLE-10202-LAB,https://www.misprofesores.com/profesores/Maria-Grace-Nobile_10828,
GILBERTO NAVA HERNANDEZ,DER-15704,N/A,
ROMANS PANCS,"ECO-21112, ECO-11227",https://www.misprofesores.com/profesores/Romans-Pancs_104518,
FRANCO LAMMOGLIA ORDIALES,"DER-17045, DER-17048-LAB",https://www.misprofesores.com/profesores/Franco-Lammoglia_104538,
JOSE CALIXTO CANO,"COM-16301, COM-16306",https://www.misprofesores.com/profesores/Jose-Calixto-Cano_19639,
MARIA DE LAS MERCEDES ANTONIA RODRIGUEZ ABASCAL,LEN-12701,N/A,
EMILIO AGUILAR CASTELLANO,DER-11111,N/A,
VIRGINIA KALIS LETAYF,"CON-10004, CON-10112, CON-10003",https://www.misprofesores.com/profesores/Virginia-Kalis-Letayf_10754,
CRISTHIAN JOSE MANUEL SEMINARIO AMEZ,"ECO-22105, ECO-10518",https://www.misprofesores.com/profesores/Cristhian-Seminario-Amez_164953,https://www.misprofesores.com/profesores/Cristhian-Seminario_163851
CONCEPCION RUIZ RUIZ FUNES,"MAT-14201, MAT-14281, MAT-14301",https://www.misprofesores.com/profesores/concepcion-ruiz-ruiz-funes_17986,
IGNACIO NORBERTO LOBATO GARCIA MIJAN,"EST-21104, ECO-20514",https://www.misprofesores.com/profesores/Ignacio-Norberto-Lobato-Garcia-Mijan_10781,
MARIA DE LOURDES ALICIA DOMENZAIN ORTEGA,COM-16305,https://www.misprofesores.com/profesores/Lourdes-Domenzain_16997,
EDUARDO MAGALLON MURGUIA,DER-16702,https://www.misprofesores.com/profesores/Eduardo-Magallon_41193,
FRANCISCO JAVIER DEL OLMO HERNANDEZ,SDI-13760-LAB,https://www.misprofesores.com/profesores/Francisco-Del-Olmo-Hernandez_172160,
FLORENCIA GRACIELA ZOZAYA BECERRA,"LEN-12713, LEN-12702, LEN-15358",https://www.misprofesores.com/profesores/Florencia-Zozaya-Becerra_120641,
